dataset,model,family,window_type,n_folds_scored,n_folds_failed,n_points,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,coverage,coverage_error,calibrated,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,fit_seconds_total,fit_seconds_per_fold,series
retail,lgbm_global,ml,rolling,6,0,84,38.952217128846314,50.3803722052684,6.802890489683536,0.3943934485996595,,6.681044239546607,6.761472097288326,1.0,0.09999999999999998,False,2383.319090492735,416.23968979643166,15.595236346367326,103.5707181782695,59.582977262318416,0.0,,Riyadh/Grocery
workforce,seasonal_naive,baseline,expanding,20,0,280,6.485714285714286,8.972975298878612,7.527773171944951,1.3390105096996634,,7.602554578321959,7.710362393978381,0.8071428571428572,-0.09285714285714286,False,19.830000000000002,23.016083568230812,0.9468214285714286,1.3500357142857147,1.1484285714285716,0.003994600032456219,0.00019973000162281095,workforce
workforce,sarima,classical,expanding,20,0,280,5.339529427535953,7.574773114439777,6.197430938940752,1.1023744965253057,,6.307541452417506,6.2965121369868555,0.8964285714285715,-0.0035714285714285587,True,22.211599692476582,25.78033457922999,0.6366432106252804,1.0936772638302645,0.8651602372277725,219.1815981999971,10.959079909999854,workforce
workforce,ets,classical,expanding,20,0,280,5.108937515624119,7.288920080094197,5.9297898539825615,1.0547675592012573,,6.065693316678058,6.11092956604726,0.9071428571428571,0.0071428571428571175,True,21.470602305310255,24.920281236473517,0.6016095175012494,1.0935906302097964,0.8476000738555229,13.039515999960713,0.6519757999980357,workforce
workforce,prophet,gam,expanding,20,0,280,6.37956561993689,8.435334067091434,7.4045696135894925,1.3170955481695816,,7.511285965379903,7.524486359527716,0.6892857142857143,-0.21071428571428574,False,15.512137019171867,18.004470093550502,1.095588612527214,1.352678810888669,1.2241337117079416,9.477729600272141,0.47388648001360706,workforce
workforce,sktime_theta,gam,expanding,20,0,280,5.217678932963056,7.355258450460177,6.0560027409619295,1.0772178082011543,,6.303755960850061,6.403792690316809,0.8928571428571429,-0.0071428571428571175,True,22.775861069411686,26.435255759555925,0.5917896890853566,1.1706239646789165,0.8812068268821365,1.5397642998723313,0.07698821499361656,workforce
workforce,lgbm_quantile,ml,expanding,20,0,280,5.93623977839541,8.273195402944362,6.890014665688588,1.2255685497704973,,7.014725960507118,7.014384623786987,0.5857142857142857,-0.3142857142857143,False,11.67000499753638,13.545023210537996,1.2821109484232494,1.3511818261089201,1.3166463872660847,57.936391600058414,2.8968195800029206,workforce
workforce,lgbm_conformal,ml,expanding,20,0,280,6.3729863879925155,8.904957512910386,7.39693329728861,1.3157372304375359,,7.534682444120666,7.509732247933447,0.9321428571428572,0.03214285714285714,True,33.43205212680361,38.803575673623826,0.7740894637835333,1.3820246265770608,1.078057045180297,41.10810419975314,2.055405209987657,workforce
workforce,seasonal_naive,baseline,rolling,20,0,280,6.485714285714286,8.972975298878612,7.527773171944951,1.588157123314442,,7.602554578321959,7.710362393978381,0.8357142857142857,-0.06428571428571428,False,22.760000000000005,26.41684629414691,0.9332857142857143,1.3232857142857146,1.1282857142857146,0.006564299808815122,0.00032821499044075606,workforce
workforce,sarima,classical,rolling,20,0,280,5.622079006164372,7.717548283788885,6.525377722293252,1.3766787169677466,,6.635061778203245,6.61810364778256,0.9035714285714286,0.0035714285714285587,True,24.40654837167803,28.327945382481552,0.6574670649130553,1.120462813767461,0.8889649393402581,156.8643313999055,7.843216569995275,workforce
workforce,ets,classical,rolling,20,0,280,5.14325176430881,7.270981207160861,5.969617368622396,1.2594282706036621,,6.094752709592503,6.110366892045364,0.9214285714285714,0.021428571428571352,True,23.393362658490048,27.151971250112805,0.5958379018443852,1.1332694422629253,0.8645536720536553,9.18156449997332,0.45907822499866596,workforce
workforce,prophet,gam,rolling,20,0,280,7.534578762593195,9.869994826353295,8.7451585704116,1.8449926108128343,,9.083158425581487,8.787658418260804,0.6071428571428571,-0.2928571428571429,False,16.25169860085386,18.862856940138787,1.7922863624436287,1.355690263949446,1.5739883131965373,8.10978950036224,0.405489475018112,workforce
workforce,sktime_theta,gam,rolling,20,0,280,5.266361041563373,7.368195776479462,6.112506597735635,1.2895740443773513,,6.3058713618395625,6.381631077066953,0.9142857142857143,0.014285714285714235,True,24.930400312740687,28.935964548032633,0.607350522751631,1.2054586616571181,0.9064045922043746,1.5227137999609113,0.07613568999804557,workforce
