dataset,window_type,model,family,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,wape_mean,wape_std,wape_min,wape_max,mase_mean,mase_std,mase_min,mase_max,coverage_mean,coverage_std,coverage_min,coverage_max,interval_width_mean,interval_width_std,interval_width_min,interval_width_max,pinball_mean_mean,pinball_mean_std,pinball_mean_min,pinball_mean_max,fit_seconds_mean,fit_seconds_std,fit_seconds_min,fit_seconds_max,n_folds,n_failed
intermittent,expanding,seasonal_naive,baseline,0.7232142857142857,0.439383181488467,0.0,1.4285714285714286,1.643523326306085,0.9393282472685724,0.0,2.7774602993176543,270.0,349.3667741173205,0.0,1100.0,1.0494827279137187,0.645200761720227,0.0,2.104327208061648,0.8928571428571428,0.07636035483212127,0.7857142857142857,1.0,3.232142857142857,0.31426252233539764,3.0,3.857142857142857,0.20133928571428578,0.1068352301416387,0.07500000000000007,0.38214285714285723,0.00018686248222365975,9.75790862776233e-06,0.00017819995991885662,0.00020619994029402733,8,0
intermittent,expanding,sktime_theta,gam,0.7238213281897419,0.31893778843837517,0.34660430345970233,1.0536646016332845,1.2390891377812114,0.7853643224308312,0.37705640353619624,2.1519390195880983,239.39263087969226,206.20398999271168,100.0,630.2032407882921,1.050759575872799,0.47042547758194164,0.5029449679989723,1.5539764809259373,0.9107142857142857,0.0832117675015311,0.7857142857142857,1.0,2.6871900334819347,0.04534924954307347,2.6085041350319753,2.7528414313186045,0.15654735577346102,0.09908253303508313,0.06645519947784441,0.2986992964220487,0.06697226253163535,0.0016817208838523728,0.06435720005538315,0.06910379999317229,8,0
intermittent,rolling,ets,classical,0.6954791799196495,0.31513902768572666,0.3479365398216778,1.0978373643392654,1.2470817189529273,0.8071542397233332,0.3479365398216779,2.195813700248764,236.39372957976255,213.6023965935912,100.0,599.713833092396,1.0021614047846128,0.5020772108417193,0.5323131677613703,1.746781228593142,0.9107142857142857,0.0832117675015311,0.7857142857142857,1.0,2.696978260644868,0.1320812187568294,2.534713412967335,2.8860103644945867,0.15740854999821793,0.10188263544480569,0.06419823255767083,0.31088830347179414,0.5326385625085095,0.06318900920932358,0.4199166001053527,0.6490404000505805,8,0
intermittent,rolling,lgbm_conformal,ml,0.7570602356938898,0.27240420652117286,0.37060693214427015,1.059076006225028,1.3779908965157603,0.65940469811701,0.6349716094016248,2.104333762139144,254.8192104512944,219.82059791427744,100.0,661.0305147120408,1.073779956219363,0.38764233244942975,0.5162540144266486,1.6238819365966548,0.9107142857142857,0.0832117675015311,0.7857142857142857,1.0,2.4911104087438503,0.4353991387806499,1.8648645434206899,3.001620034559312,0.1691669980052481,0.10489941857789017,0.059002497049436615,0.3025740093340426,1.3939799875079188,0.01094684985841455,1.3790665999986231,1.4117736000334844,8,0
intermittent,rolling,lgbm_global,ml,0.46575933557749005,0.3651514761220191,0.002051870438880917,1.1880658965570134,0.9335708314115541,0.7095200536416673,0.0073695918692599435,2.2754378794409003,144.43753853146728,95.11949675865509,97.26922756671976,596.5018821617514,1.2389753168073945,1.1696078250629456,0.01836424042798421,5.546683166035957,0.7120535714285714,0.22912115274088377,0.14285714285714285,1.0,0.4159968611184654,0.11373126557458786,0.1514796404376319,0.6622445831910238,0.17450850420577468,0.154354994100245,0.007105486922889377,0.448617994819778,,,,,32,0
intermittent,rolling,lgbm_quantile,ml,0.5888092949134216,0.31857799685255156,0.12348343542246558,0.9891926911360441,1.368564937198017,0.7846174771186198,0.2783491639789676,2.29906813420444,153.96891758909132,83.6639255693495,99.48997361210623,339.9500320819096,0.8388978263141269,0.45934679361510933,0.17201194506320105,1.3638095238095236,0.6785714285714286,0.3798879687548221,0.07142857142857142,1.0,1.0546419494851151,1.1920908488570354,0.011993038758674301,3.6258724837734184,0.19495083705011307,0.1645074858092078,0.010097981703747034,0.39315696882610973,2.0563004374853335,0.04568854616590963,2.011207400006242,2.1547864000312984,8,0
intermittent,rolling,prophet,gam,0.8978247195577358,0.4060727924309706,0.3555461681552882,1.5183383076435126,1.3614553307360633,0.7214751306781704,0.385128477033072,2.130704023182443,330.7529953955003,344.9834210924858,100.0,1099.8923248106105,1.2889941121897164,0.6461500230002548,0.5032777141252293,2.426629973823114,0.9285714285714286,0.08537347209531385,0.7857142857142857,1.0,2.6500033758005213,1.0158002344836756,0.37508312709272273,3.8036694487664104,0.17631900690456434,0.11177697612568453,0.06452302826875608,0.3321410132185656,0.34508886247931514,0.005346162602700261,0.3373474000254646,0.35540350002702326,8,0
intermittent,rolling,sarima,classical,0.57396755327364,0.3335976443761189,0.17896029327067478,0.9733930456477637,1.2123560014559127,0.8854891340624712,0.20492873563249295,2.243446762897273,158.62867750164122,88.00661207637363,100.0,338.7797342453302,0.8284000757994727,0.5182910528957587,0.23817020442714337,1.5487764904084418,0.9107142857142857,0.0832117675015311,0.7857142857142857,1.0,2.4446169231887396,0.07791491728910394,2.3479087747769465,2.58739549280606,0.15978209730304746,0.10906493830114804,0.060748461269759545,0.31950339509781656,4.5910473500116495,1.0486347590916565,3.1851733999792486,5.7537455999990925,8,0
intermittent,rolling,seasonal_naive,baseline,0.7232142857142857,0.439383181488467,0.0,1.4285714285714286,1.643523326306085,0.9393282472685724,0.0,2.7774602993176543,270.0,349.3667741173205,0.0,1100.0,1.0331920106690258,0.6868085549659713,0.0,2.2831632653061225,0.9196428571428571,0.0804279733185431,0.7857142857142857,1.0,3.805357142857144,0.6188457938922057,3.0,4.571428571428571,0.18441964285714296,0.10660031641563043,0.07500000000000007,0.38214285714285723,0.00029772498237434775,2.2471566493033593e-05,0.0002796999178826809,0.0003472999669611454,8,0
intermittent,rolling,sktime_theta,gam,0.639045679640186,0.3455153630979285,0.23622910980303743,0.9723373495097704,1.2312679312951285,0.850980654747811,0.28690949987800923,2.2029228998027244,188.91437712635695,131.8655014432668,100.0,458.47650196388116,0.9168289297846899,0.5219076156068179,0.32906623077621555,1.5455468617871848,0.9196428571428571,0.08903024676844465,0.7857142857142857,1.0,2.6097914553022803,0.14344961268601242,2.3832560890986203,2.826580250025708,0.1602398932030317,0.10572743991523438,0.06151392523142187,0.3121368768951864,0.06491322501096874,0.001553832211825705,0.06257019995246083,0.06721150001976639,8,0
