dataset,series,window_type,fold,model,family,train_size,test_start_date,test_end_date,horizon,fit_seconds,error,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,actual_sum,actual_mean,all_zero_window,coverage,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,crossed_bounds_repaired,interval,order,seasonal_order,aic,bic,ljung_box_p,residuals_white_noise,lambda,ets_config,sp,n_train_rows,margin_h1,margin_hmax
workforce,workforce,rolling,11,sktime_theta,gam,365,2025-08-28,2025-09-10,14,0.07560380001086742,,4.283002732224571,5.113063770590638,4.89885933424379,0.8125675559811323,,5.730218932588844,5.514472482954206,1224.0,87.42857142857143,False,0.9285714285714286,26.360204250880347,30.1505604176736,0.4662177331830174,0.861643471634854,0.6639306024089358,0,sktime predict_interval / predict_quantiles,,,,,,,-0.0625,,7.0,,,
workforce,workforce,rolling,12,sktime_theta,gam,365,2025-09-11,2025-09-24,14,0.07642269995994866,,5.238806133091868,7.268006274123623,6.247298625492857,0.983994016603824,,6.152633540257945,5.91565618906751,1174.0,83.85714285714286,False,0.9285714285714286,25.06957825639616,29.89557884067685,0.8735642867670761,0.7954469606961077,0.8345056237315919,0,sktime predict_interval / predict_quantiles,,,,,,,-0.07499999999999996,,7.0,,,
workforce,workforce,rolling,13,sktime_theta,gam,365,2025-09-25,2025-10-08,14,0.07138460001442581,,6.3181558028686595,7.654827523972281,7.983229353805166,1.1499236285851449,,7.874428982823323,7.608266313335441,1108.0,79.14285714285714,False,1.0,24.560006061267888,31.03249863337098,0.320883232800544,0.907117070262851,0.6140001515316975,0,sktime predict_interval / predict_quantiles,,,,,,,-0.07499999999999996,,7.0,,,
workforce,workforce,rolling,14,sktime_theta,gam,365,2025-10-09,2025-10-22,14,0.07556140003725886,,4.056897938625068,4.7926398570758835,4.973430047351221,0.7342616087096937,,5.529169901577039,5.504781073013016,1142.0,81.57142857142857,False,1.0,23.940524388169216,29.34915424118818,0.5426899696260303,0.6543362497824309,0.5985131097042307,0,sktime predict_interval / predict_quantiles,,,,,,,-0.04999999999999993,,7.0,,,
workforce,workforce,rolling,15,sktime_theta,gam,365,2025-10-23,2025-11-05,14,0.07419209997169673,,3.60591928725634,4.709795835036019,4.428321931718313,0.6444928131990862,,4.472710599826677,4.419192373577963,1140.0,81.42857142857143,False,1.0,23.73924508808395,29.153458880103095,0.5260837133522249,0.6608785410519731,0.593481127202099,0,sktime predict_interval / predict_quantiles,,,,,,,-0.02499999999999991,,7.0,,,
workforce,workforce,rolling,16,sktime_theta,gam,365,2025-11-06,2025-11-19,14,0.07072329998482019,,4.079732984266695,5.38947861544803,5.019003671329854,0.723041786320533,,4.783306205603342,4.802318203568183,1138.0,81.28571428571429,False,1.0,23.297456665996105,28.661194492438085,0.5661785600105605,0.5986942732892454,0.582436416649903,0,sktime predict_interval / predict_quantiles,,,,,,,-0.03749999999999998,,7.0,,,
workforce,workforce,rolling,17,sktime_theta,gam,365,2025-11-20,2025-12-03,14,0.0716823999537155,,3.9548439276279557,4.833812298544307,4.6566707305964155,0.6767849551103289,,4.799216110337107,4.867527334962883,1189.0,84.92857142857143,False,1.0,24.200643192370837,28.4952905545157,0.603732448885949,0.6062997107325934,0.6050160798092712,0,sktime predict_interval / predict_quantiles,,,,,,,-0.012499999999999956,,7.0,,,
workforce,workforce,rolling,18,sktime_theta,gam,365,2025-12-04,2025-12-17,14,0.07493599993176758,,2.7492816960271353,3.449303496836338,3.131809905970699,0.47273911968189936,,3.4526407889306316,3.5265241522035513,1229.0,87.78571428571429,False,1.0,24.790049406035084,28.239275157403675,0.6263362232523116,0.6131662470494434,0.6197512351508776,0,sktime predict_interval / predict_quantiles,,,,,,,0.012499999999999956,,7.0,,,
workforce,workforce,rolling,19,sktime_theta,gam,365,2025-12-18,2025-12-31,14,0.07226570008788258,,4.179188558527155,5.311741578444729,4.654625283960236,0.7114358078710041,,4.7282412276398,4.824880203632332,1257.0,89.78571428571429,False,1.0,24.39442866846984,27.1696102910563,0.6834929278401497,0.536228505583343,0.6098607167117464,0,sktime predict_interval / predict_quantiles,,,,,,,0.050000000000000044,,7.0,,,
workforce,workforce,rolling,0,lgbm_quantile,ml,365,2025-03-27,2025-04-09,14,2.9354617999633774,,17.335878313101908,21.86088512114764,20.51583232319752,4.245037233988018,,18.147469825742586,20.8222449425318,1183.0,84.5,False,0.21428571428571427,7.432018126784113,8.795287724004867,1.2773755100495963,12.96136556303081,7.119370536540203,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.2875,,,4627.0,,
workforce,workforce,rolling,1,lgbm_quantile,ml,365,2025-04-10,2025-04-23,14,2.8344685999909416,,6.702762183165426,7.340785996731863,7.441607499152733,1.4969362829527277,,8.487175433067305,8.868382269333098,1261.0,90.07142857142857,False,0.35714285714285715,5.977776331517297,6.63670647432531,1.718282341932771,1.79442207359268,1.7563522077627254,2,quantile objective (alpha=0.05/0.95),,,,,,,-0.29999999999999993,,,4627.0,,
